rev_id	timing	wiki	grouping
297245177	0.5511009693145752	wikidatawiki	single
296840110	0.5184626579284668	wikidatawiki	single
296158037	0.014562368392944336	wikidatawiki	single
300144004	0.546544075012207	wikidatawiki	single
296756699	0.5614173412322998	wikidatawiki	single
292424139	2.0281765460968018	wikidatawiki	single
301671742	0.5772926807403564	wikidatawiki	single
297526230	0.5745065212249756	wikidatawiki	single
297075370	0.05012059211730957	wikidatawiki	single
298386365	1.0538134574890137	wikidatawiki	single
292766524	0.5189273357391357	wikidatawiki	single
302909661	0.023443937301635742	wikidatawiki	single
301713522	0.5212173461914062	wikidatawiki	single
294509770	0.010616779327392578	wikidatawiki	single
295511628	0.019992589950561523	wikidatawiki	single
298590123	0.5167577266693115	wikidatawiki	single
292092445	0.5528748035430908	wikidatawiki	single
300622292	0.6333670616149902	wikidatawiki	single
293933080	0.5532636642456055	wikidatawiki	single
294155498	0.520355224609375	wikidatawiki	single
302199223	0.58249831199646	wikidatawiki	single
298879309	1.0803396701812744	wikidatawiki	single
292421932	0.012499809265136719	wikidatawiki	single
298092288	0.5527646541595459	wikidatawiki	single
301805342	0.5551259517669678	wikidatawiki	single
301223518	1.0791966915130615	wikidatawiki	single
298002093	0.5760676860809326	wikidatawiki	single
300178975	0.562382698059082	wikidatawiki	single
299294232	0.5624439716339111	wikidatawiki	single
293555444	3.047795295715332	wikidatawiki	single
292461471	0.5176639556884766	wikidatawiki	single
296028500	0.033350467681884766	wikidatawiki	single
298078261	0.592599630355835	wikidatawiki	single
302149020	0.6690769195556641	wikidatawiki	single
301687963	0.5796136856079102	wikidatawiki	single
293097460	0.5869386196136475	wikidatawiki	single
296702392	0.047270774841308594	wikidatawiki	single
296841262	0.03359508514404297	wikidatawiki	single
299893203	0.5998048782348633	wikidatawiki	single
299100196	0.5669198036193848	wikidatawiki	single
295402648	2.5856850147247314	wikidatawiki	single
301692071	0.5451865196228027	wikidatawiki	single
297450220	0.5215291976928711	wikidatawiki	single
297210330	0.5346877574920654	wikidatawiki	single
298290019	1.531994342803955	wikidatawiki	single
294615350	0.5557918548583984	wikidatawiki	single
293198044	0.02383255958557129	wikidatawiki	single
298965947	0.5738654136657715	wikidatawiki	single
292319054	0.5992541313171387	wikidatawiki	single
298088678	0.530247688293457	wikidatawiki	single
295214016	0.5747439861297607	wikidatawiki	single
297905422	0.5751452445983887	wikidatawiki	single
291847164	0.5378639698028564	wikidatawiki	single
297336374	0.5572469234466553	wikidatawiki	single
300251767	0.5531532764434814	wikidatawiki	single
296205543	0.019588232040405273	wikidatawiki	single
293193829	0.032343387603759766	wikidatawiki	single
293117517	0.5332555770874023	wikidatawiki	single
301412980	2.16947340965271	wikidatawiki	single
299689883	0.528144359588623	wikidatawiki	single
292851048	0.525256872177124	wikidatawiki	single
298640164	1.036573886871338	wikidatawiki	single
298292785	0.671422004699707	wikidatawiki	single
